Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 16, 512, 4.5762, 10.0942, N/A, 1.86033, 1.89074, 65.5714, 7.56952, 4, 2, 1, 1, 16, 1, 19.1033, 2, 2, 0.5, 1, 1, 1, 78.6305, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 4, 512, 1.59863, 3.61034, N/A, 0.482228, 0.564153, 61.6046, 2.29881, 2, 2, 1, 1, 4, 2, 69.0385, 2, 2, 2, 1, 4, 1, 78.228, 
90, 131072, 1, 8, 512, 2.65835, 10.2732, N/A, 0.825942, 0.794309, 61.7041, 2.72061, 2, 2, 1, 1, 8, 2, 54.9431, 2, 2, 1, 1, 2, 1, 78.5053, 
90, 131072, 1, 16, 512, 4.5762, 10.0942, N/A, 1.86033, 1.89074, 65.5714, 7.56952, 4, 2, 1, 1, 16, 1, 19.1033, 2, 2, 0.5, 1, 1, 1, 78.6305, 
22, 131072, 1, 2, 512, 0.431572, 0.512839, N/A, 0.0341372, 0.0449893, 42.1203, 0.20131, 2, 4, 1, 2, 2, 1, 49.4644, 2, 2, 4, 1, 8, 1, 76.8145, 
40, 131072, 1, 2, 512, 0.691583, 0.981939, N/A, 0.0812997, 0.15135, 133.168, 0.444199, 2, 2, 1, 2, 2, 1, 78.351, 2, 2, 4, 1, 8, 1, 77.9165, 
32, 131072, 1, 2, 512, 0.590766, 0.829489, N/A, 0.0569571, 0.102761, 90.3061, 0.28458, 2, 2, 1, 2, 2, 1, 78.272, 2, 2, 4, 1, 8, 1, 77.8701, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
